zts1e	Požehnání Bušíka
zts3e	Koèièí Požehnání
zts5e	Svìtelné Požehnání
zts7e	Stínové Požehnání
zts9e	Vodní Požehnání
zts11e	Ohnivé Požehnání
zts13e	Požehnání Šermíøe
zts15e	Požehnání Mága
zts17e	Požehnání Luka
zts19e	Požehnání Ninji
zts21e	Požehnání Evoluce
zts23e	Duhové Požehnání
zts25e	Robotí Požehnání
zts27e	Pirátské Požehnání
zts29e	Dìsivé Požehnání
zts31e	Ledové Požehnání
zts33e	Vlèí Požehnání
zts35e	Požehnání Želé
zts37e	Nebeské Požehnání
zts39e	Požehnání Bestie
zts41e	Požehnání Ducha
zts43e	Požehnání Strážce
zts45e	Požehnání Krále D
zts47e	Požehnání Krále B
zts49e	Krev Nesmrtelného
zts51e	Bomberman
zts53e	Elektrický Šok
zts55e	Rychlý a Mrštný
